BB_Rank,Title,Artist,Date,Genre,Gender
1,THE TWIST,Chubby Checker,1960,R&B,Male
2,SMOOTH,Santana Featuring Rob Thomas,1999,Rock,Duo/Group
3,MACK THE KNIFE,Bobby Darin,1959,Pop,Male
4,UPTOWN FUNK!,Mark Ronson Featuring Bruno Mars,2015,Pop,Male
5,HOW DO I LIVE,LeAnn Rimes,1997,Country,Female
6,PARTY ROCK ANTHEM,LMFAO Featuring Lauren Bennett & GoonRock,2011,Dance/Electronic,Duo/Group
7,I GOTTA FEELING,The Black Eyed Peas,2009,Pop,Duo/Group
8,MACARENA (BAYSIDE BOYS MIX),Los Del Rio,1996,Latin,Duo/Group
9,SHAPE OF YOU,Ed Sheeran,2017,Pop,Male
10,PHYSICAL,Olivia Newton-John,1981,Pop,Female
11,YOU LIGHT UP MY LIFE,Debby Boone,1977,Country,Female
12,HEY JUDE,The Beatles,1968,Rock,Duo/Group
13,CLOSER,The Chainsmokers Featuring Halsey,2016,Dance/Electronic,Duo/Group
14,WE BELONG TOGETHER,Mariah Carey,2005,R&B,Female
15,UN-BREAK MY HEART,Toni Braxton,1996,R&B,Female
16,YEAH!,Usher Featuring Lil Jon & Ludacris,2004,R&B,Male
17,BETTE DAVIS EYES,Kim Carnes,1981,Pop,Female
18,ENDLESS LOVE,Diana Ross & Lionel Richie,1981,R&B,Male/Female
19,TONIGHT'S THE NIGHT (GONNA BE ALRIGHT),Rod Stewart,1976,Rock,Male
20,FOOLISH GAMES/YOU WERE MEANT FOR ME,Jewel,1997,Pop,Female
21,(EVERYTHING I DO) I DO IT FOR YOU,Bryan Adams,1991,Pop,Male
22,I'LL MAKE LOVE TO YOU,Boyz II Men,1994,R&B,Duo/Group
23,"THE THEME FROM ""A SUMMER PLACE""",Percy Faith And His Orchestra,1960,Pop,Male
24,LE FREAK,Chic,1978,Dance/Electronic,Duo/Group
25,HOW DEEP IS YOUR LOVE,Bee Gees,1977,Pop,Duo/Group
26,EYE OF THE TIGER,Survivor,1982,Rock,Duo/Group
27,WE FOUND LOVE,Rihanna Featuring Calvin Harris,2011,Pop,Female
28,LOW,Flo Rida Featuring T-Pain,2008,Hip-Hop/Rap,Male
29,I JUST WANT TO BE YOUR EVERYTHING,Andy Gibb,1977,Pop,Male
30,TOO CLOSE,Next,1998,R&B,Duo/Group
31,EVERY BREATH YOU TAKE,The Police,1983,Rock,Duo/Group
32,SOMEBODY THAT I USED TO KNOW,Gotye Featuring Kimbra,2012,Rock,Male
33,DESPACITO,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,2017,Latin,Male
34,FLASHDANCE...WHAT A FEELING,Irene Cara,1983,Pop,Female
35,ROLLING IN THE DEEP,Adele,2011,Pop,Female
36,TOSSIN' AND TURNIN',Bobby Lewis,1961,R&B,Male
37,THE BATTLE OF NEW ORLEANS,Johnny Horton,1959,Rock,Male
38,ONE SWEET DAY,Mariah Carey & Boyz II Men,1995,R&B,Female/Duo/Group
39,TRULY MADLY DEEPLY,Savage Garden,1998,Pop,Duo/Group
40,SILLY LOVE SONGS,Wings,1976,Rock,Duo/Group
41,LET'S GET IT ON,Marvin Gaye,1973,R&B,Male
42,NIGHT FEVER,Bee Gees,1978,Dance/Electronic,Duo/Group
43,Another One Bites The Dust,Queen,1980,Rock,Duo/Group
44,SAY SAY SAY,Paul McCartney And Michael Jackson,1983,Pop,Male
45,HOW YOU REMIND ME,Nickelback,2001,Rock,Duo/Group
46,TIE A YELLOW RIBBON ROUND THE OLE OAK TREE,Dawn Featuring Tony Orlando,1973,Pop,Duo/Group
47,IT'S ALL IN THE GAME,Tommy Edwards,1958,R&B,Male
48,I WANT TO HOLD YOUR HAND,The Beatles,1964,Rock,Duo/Group
49,SHADOW DANCING,Andy Gibb,1978,Pop,Male
50,CALL ME MAYBE,Carly Rae Jepsen,2012,Pop,Female
51,BLURRED LINES,Robin Thicke Featuring T.I. + Pharrell,2013,R&B,Male
52,CANDLE IN THE WIND 1997/SOMETHING ABOUT THE WAY YOU LOOK TONIGHT,Elton John,1997,Pop,Male
53,NO ONE,Alicia Keys,2007,R&B,Female
54,I WILL ALWAYS LOVE YOU,Whitney Houston,1992,R&B,Female
