RS_Rank,Title,Album,Artist,Year 
1,Shop Around,The Ultimate Collection (Motown),Smokey Robinson and the Miracles,1960
2,Buddy Holly,Weezer (Geffen),Weezer,1994
3,Miss You,Some Girls (Virgin),The Rolling Stones,1978
4,The Rising,The Rising (Columbia),Bruce Springsteen,2002
5,Running on Empty,Running on Empty (Elektra),Jackson Browne,1977
6,Brown Sugar,Sticky Fingers (Virgin),The Rolling Stones,1971
7,Ignition (Remix),Chocolate Factory (Jive),R. Kelly,2002
8,Time to Pretend,Oracular Spectacular (Columbia),MGMT,2008
9,I Will Survive,I Will Survive: The Anthology (Polygram),Gloria Gaynor,1978
10,I Love Rock N Roll,I Love Rock 'N Roll (Blackheart),Joan Jett and the Blackhearts,1982
11,Clocks,A Rush of Blood to the Head (Capitol),Coldplay,2002
12,Under the Boardwalk,The Very Best of the Drifters (Rhino),The Drifters,1964
13,Just Like Heaven,"Kiss Me, Kiss Me, Kiss Me (Elektra)",The Cure,1987
14,Im Eighteen,Love It to Death (Warner Bros.),Alice Cooper,1971
15,Young Americans,Young Americans (Virgin),David Bowie,1975
16,Lady Marmalade,Nightbirds (Epic),LaBelle,1975
17,Cry Me a River,Justified (Jive),Justin Timberlake,2002
18,White Rabbit,Surrealistic Pillow (RCA),Jefferson Airplane,1967
19,Since U Been Gone,Breakaway (RCA),Kelly Clarkson,2004
20,Super Freak,Street Songs (Motown),Rick James,1981
21,Sabotage,Ill Communication (Capitol),Beastie Boys,1994
22,I Want to Know What Love Is,Agent Provocateur (Atlantic),Foreigner,1984
23,Last Nite,Is This It (RCA),The Strokes,2001
24,How Soon Is Now?,Meat Is Murder (Warner Bros.),The Smiths,1985
25,Do Right Woman — Do Right Man,I Never Loved a Man the Way I Love You (Rhino),Aretha Franklin,1967
26,Where Did Our Love Go,The Ultimate Collection (Motown),The Supremes,1964
27,Into the Mystic,Moondance (Warner Bros.),Van Morrison,1970
28,Welcome to the Jungle,Appetite for Destruction (Geffen),Guns N' Roses,1987
29,Runaway,Greatest Hits (Rhino),Del Shannon,1961
30,Surrender,Heaven Tonight (Epic),Cheap Trick,1978
31,Standing in the Shadows of Love,The Ultimate Collection (Motown),The Four Tops,1966
32,Rain,Past Masters (Capitol/Apple),The Beatles,1966
33,Respect Yourself,Bealtitude: Respect Yourself (Stax),The Staple Singers,1971
34,Big Pimpin,Vol. 3: Life and Times of S. Carter (Roc-A-Fella),Jay-Z Featuring UGK,1999
35,Get Ur Freak On,Miss E … So Addictive (Atlantic/ATG),Missy Elliott,2001
36,Rollin Stone,The Anthology: 1947-1972 (Chess/MCA),Muddy Waters,1948
37,Kiss,Parade (Warner Bros.),Prince and the Revolution,1986
38,Soul Man,Soul Men (Rhino),Sam and Dave,1967
39,All Apologies,In Utero (Geffen),Nirvana,1993
40,Sheena Is a Punk Rocker,Rocket to Russia (Rhino),Ramones,1977
41,My Sweet Lord,All Things Must Pass (Capitol),George Harrison,1970
42,Paradise City,Appetite for Destruction (Geffen),Guns N' Roses,1987
43,Cupid,Greatest Hits (RCA),Sam Cooke,1961
44,The Twist,Greatest Hits (Prime Cuts),Chubby Checker,1960
45,Penny Lane,Magical Mystery Tour (Capitol/Apple),The Beatles,1967
46,Heroin,The Velvet Underground and Nico (Polydor),The Velvet Underground,1967
47,Leader of the Pack,Myrmidons of Melodrama: Definitive Collection (RPM),The Shangri-Las,1964
48,Pressure Drop,The Harder They Come (Hip-O),Toots and the Maytals,1973
49,Come As You Are,Nevermind (Geffen),Nirvana,1991
50,I Got You Babe,The Beat Goes On: The Best of Sonny and Cher (Atlantic),Sonny and Cher,1965
51,Shop Around,The Ultimate Collection (Motown),Smokey Robinson and the Miracles,1960
52,Buddy Holly,Weezer (Geffen),Weezer,1994
53,Miss You,Some Girls (Virgin),The Rolling Stones,1978
54,The Rising,The Rising (Columbia),Bruce Springsteen,2002
55,Running on Empty,Running on Empty (Elektra),Jackson Browne,1977
56,Brown Sugar,Sticky Fingers (Virgin),The Rolling Stones,1971
57,Ignition (Remix),Chocolate Factory (Jive),R. Kelly,2002
58,Time to Pretend,Oracular Spectacular (Columbia),MGMT,2008
59,I Will Survive,I Will Survive: The Anthology (Polygram),Gloria Gaynor,1978
60,I Love Rock N Roll,I Love Rock 'N Roll (Blackheart),Joan Jett and the Blackhearts,1982
61,Clocks,A Rush of Blood to the Head (Capitol),Coldplay,2002
62,Under the Boardwalk,The Very Best of the Drifters (Rhino),The Drifters,1964
63,Just Like Heaven,"Kiss Me, Kiss Me, Kiss Me (Elektra)",The Cure,1987
64,Im Eighteen,Love It to Death (Warner Bros.),Alice Cooper,1971
65,Young Americans,Young Americans (Virgin),David Bowie,1975
66,Lady Marmalade,Nightbirds (Epic),LaBelle,1975
67,Cry Me a River,Justified (Jive),Justin Timberlake,2002
68,White Rabbit,Surrealistic Pillow (RCA),Jefferson Airplane,1967
69,Since U Been Gone,Breakaway (RCA),Kelly Clarkson,2004
70,Super Freak,Street Songs (Motown),Rick James,1981
71,Sabotage,Ill Communication (Capitol),Beastie Boys,1994
72,I Want to Know What Love Is,Agent Provocateur (Atlantic),Foreigner,1984
73,Last Nite,Is This It (RCA),The Strokes,2001
74,How Soon Is Now?,Meat Is Murder (Warner Bros.),The Smiths,1985
75,Do Right Woman — Do Right Man,I Never Loved a Man the Way I Love You (Rhino),Aretha Franklin,1967
76,Where Did Our Love Go,The Ultimate Collection (Motown),The Supremes,1964
77,Into the Mystic,Moondance (Warner Bros.),Van Morrison,1970
78,Welcome to the Jungle,Appetite for Destruction (Geffen),Guns N' Roses,1987
79,Runaway,Greatest Hits (Rhino),Del Shannon,1961
80,Surrender,Heaven Tonight (Epic),Cheap Trick,1978
81,Standing in the Shadows of Love,The Ultimate Collection (Motown),The Four Tops,1966
82,Rain,Past Masters (Capitol/Apple),The Beatles,1966
83,Respect Yourself,Bealtitude: Respect Yourself (Stax),The Staple Singers,1971
84,Big Pimpin,Vol. 3: Life and Times of S. Carter (Roc-A-Fella),Jay-Z Featuring UGK,1999
85,Get Ur Freak On,Miss E … So Addictive (Atlantic/ATG),Missy Elliott,2001
86,Rollin Stone,The Anthology: 1947-1972 (Chess/MCA),Muddy Waters,1948
87,Kiss,Parade (Warner Bros.),Prince and the Revolution,1986
88,Soul Man,Soul Men (Rhino),Sam and Dave,1967
89,All Apologies,In Utero (Geffen),Nirvana,1993
90,Sheena Is a Punk Rocker,Rocket to Russia (Rhino),Ramones,1977
91,My Sweet Lord,All Things Must Pass (Capitol),George Harrison,1970
92,Paradise City,Appetite for Destruction (Geffen),Guns N' Roses,1987
93,Cupid,Greatest Hits (RCA),Sam Cooke,1961
94,The Twist,Greatest Hits (Prime Cuts),Chubby Checker,1960
95,Penny Lane,Magical Mystery Tour (Capitol/Apple),The Beatles,1967
96,Heroin,The Velvet Underground and Nico (Polydor),The Velvet Underground,1967
97,Leader of the Pack,Myrmidons of Melodrama: Definitive Collection (RPM),The Shangri-Las,1964
98,Pressure Drop,The Harder They Come (Hip-O),Toots and the Maytals,1973
99,Come As You Are,Nevermind (Geffen),Nirvana,1991
